Active ingredient name - English,Active ingredient name - French,Reevaluation status,CAS number
AMINOPYRALID (PRESENT AS POTASSIUM SALT),AMINOPYRALIDE (N.M.) (PRÉSENT SOUS FORME DE SEL DE POTASSIUM),YES,566191-87-5
AMINOPYRALID (PRESENT AS TRIISOPROPANOLAMINE SALT),AMINOPYRALIDE (N.M.) (PRÉSENT SOUS FORME DE SEL DE TRIISOPROPANOLAMINE),YES,566191-89-7
AMISULBROM,AMISULBROM,NO,348635-87-0
AMITRAZ,AMITRAZE,NO,33089-61-1
AMITROLE,AMITROLE,NO,61-82-5
AMMONIA (PRESENT AS AMMONIUM CARBAMATE),AMMONIAC (PRÉSENT SOUS FORME DE CARBAMATE D'AMMONIUM),NO,1111-78-0
AMMONIA (PRESENT AS AMMONIUM SULFATE),AMMONIAC (N.M.) (PRÉSENT SOUS FORME DE SULPHATE D'AMMONIUM),NO,7783-20-2
AMMONIUM BICARBONATE,BICARBONATE D'AMMONIUM,NO,1066-33-7
AMMONIUM BROMIDE,BROMURE D'AMMONIUM (N.M.),YES,12124-97-9
AMMONIUM SALT OF FATTY ACID,SEL D'AMMONIUM D'ACIDE GRAS (N.M.),NO,84776-33-0
AMMONIUM SALTS OF HIGHER FATTY ACIDS,SELS D'AMMONIUM D'ACIDES GRAS SUPÉRIEURS,NO,
AMMONIUM SULPHAMATE,SULFAMATE D'AMMONIUM,NO,7773-06-0
AMMONIUM SULPHATE,SULPHATE D'AMMONIUM (M),NO,7783-20-2
AMYLASE,AMYLASE,NO,
ANCYMIDOL,ANCYMIDOLE (N.M.),NO,12771-68-5
ANHYDROUS AMMONIA,"AMMONIAC, ANHYDRE",NO,7664-41-7
ANILAZINE,ANILAZINE (F),NO,101-05-3
ANTHRAQUINONE,ANTHRAQUINONE (N.M.),NO,84-65-1
ARSENIC ACID,ACIDE ARSÉNIQUE (N.M.),NO,7778-39-4
ARSENIC AS ELEMENTAL (PRESENT AS MONOSODIUM METHANE ARSENATE),"ARSENIC ELEMENTAIRE, PRESENT SOUS FORME DE METHANEARSENATE MONOSODIQUE",NO,2163-80-6
"ARSENIC AS ELEMENTAL, PRESENT AS DODECYL AND OCTYL AMMONIUM METHYL ARSENATES","ARSENIC ELEMENTAIRE (M), PRESENT SOUS FORME DE MÉTHYLE ARSONATE D'AMMONIUM",NO,6379-37-9
ARTIFICIAL ESSENTIAL OIL BLEND,MÉLANGE D'HUILES ESSENTIELLES ARTIFICIELLES,NO,
ASPHALT SOLIDS,MATIERES ASPHALTIQUES SOLIDES,NO,8052-42-4
